GeneName	GoTerm
YBL097W	GO:0051301
YBL098W	GO:0019805
YBL098W	GO:0055114
YBL098W	GO:0006569
YBL098W	GO:0009435
YBL098W	GO:0019674
YBL098W	GO:0019363
YBL098W	GO:0034354
YBL098W	GO:0043420
YBL098W	GO:0070189
YBL099W	GO:1902600
YBL099W	GO:0015986
YBL099W	GO:0006811
YBL099W	GO:0006754
YBL099W	GO:0046034
YBL100W-A	GO:0032197
YBL100W-B	GO:0006278
YBL100W-B	GO:0015074
YBL100W-B	GO:0071897
YBL100W-B	GO:0008152
YBL100W-B	GO:0090502
YBL100W-B	GO:0032197
YBL100W-B	GO:0006310
YBL100W-B	GO:0032196
YBL100W-B	GO:0006508
YBL100W-B	GO:0090305
YBL100W-B	GO:0090501
YBL100W-C	GO:0008150
YBL101C	GO:0071555
YBL101C	GO:0070086
YBL102W	GO:0016192
YBL102W	GO:0042147
